timestamp,lat,lon,line,rn,trDr,destNm,heading,arrT,prdt
2016-06-20T11:34:15.000Z,41.76836,-87.62581,red,812,5,95th/Dan Ryan,177,20160620 11:35:35,20160620 11:33:35
2016-06-20T11:34:15.000Z,41.85323,-87.63098,red,814,5,95th/Dan Ryan,191,20160620 11:35:39,20160620 11:33:39
2016-06-20T11:34:15.000Z,41.92505,-87.65287,red,815,5,95th/Dan Ryan,178,20160620 11:35:23,20160620 11:33:23
2016-06-20T11:34:15.000Z,41.9835,-87.65884,red,816,5,95th/Dan Ryan,178,20160620 11:34:49,20160620 11:32:49
2016-06-20T11:34:15.000Z,41.9713,-87.65849,red,820,1,Howard,358,20160620 11:28:36,20160620 11:27:36
2016-06-20T11:34:15.000Z,41.95377,-87.65493,red,821,1,Howard,271,20160620 11:36:40,20160620 11:33:40
2016-06-20T11:34:15.000Z,41.78419,-87.63108,red,824,1,Howard,358,20160620 11:34:58,20160620 11:33:58
2016-06-20T11:34:15.000Z,41.88755,-87.62792,red,901,1,Howard,356,20160620 11:34:47,20160620 11:33:47
2016-06-20T11:34:15.000Z,41.83119,-87.63064,red,902,1,Howard,358,20160620 11:36:16,20160620 11:33:16
2016-06-20T11:34:15.000Z,41.89916,-87.62826,red,906,5,95th/Dan Ryan,178,20160620 11:34:49,20160620 11:33:49
2016-06-20T11:34:15.000Z,42.0127,-87.66617,red,911,1,Howard,335,20160620 11:30:05,20160620 11:29:05
2016-06-20T11:34:15.000Z,41.79393,-87.63115,red,912,5,95th/Dan Ryan,179,20160620 11:34:51,20160620 11:33:51
2016-06-20T11:34:15.000Z,42.0127,-87.66617,red,914,5,95th/Dan Ryan,155,20160620 11:34:37,20160620 11:33:37
2016-06-20T11:35:15.000Z,41.95248,-87.65363,red,801,5,95th/Dan Ryan,176,20160620 11:35:45,20160620 11:34:45
2016-06-20T11:35:15.000Z,41.96436,-87.65761,red,802,5,95th/Dan Ryan,164,20160620 11:36:38,20160620 11:34:38
2016-06-20T11:35:15.000Z,41.96665,-87.65835,red,805,1,Howard,348,20160620 11:35:31,20160620 11:34:31
2016-06-20T11:35:15.000Z,41.8674,-87.6274,red,806,1,Howard,358,20160620 11:34:51,20160620 11:33:51
2016-06-20T11:35:15.000Z,41.92505,-87.65287,red,807,1,Howard,358,20160620 11:36:44,20160620 11:34:44
2016-06-20T11:35:15.000Z,41.73537,-87.62475,red,810,1,Howard,357,20160620 11:36:43,20160620 11:34:43
2016-06-20T11:35:15.000Z,41.76489,-87.62569,red,812,5,95th/Dan Ryan,179,20160620 11:35:58,20160620 11:34:58
2016-06-20T11:35:15.000Z,41.85826,-87.63143,red,814,5,95th/Dan Ryan,178,20160620 11:35:55,20160620 11:34:55
2016-06-20T11:35:15.000Z,41.91482,-87.65252,red,815,5,95th/Dan Ryan,178,20160620 11:35:58,20160620 11:34:58
2016-06-20T11:35:15.000Z,41.97798,-87.65867,red,816,5,95th/Dan Ryan,178,20160620 11:36:08,20160620 11:34:08
2016-06-20T11:35:15.000Z,41.97572,-87.6586,red,820,1,Howard,358,20160620 11:35:51,20160620 11:34:51
2016-06-20T11:35:15.000Z,41.95494,-87.65677,red,821,1,Howard,358,20160620 11:36:56,20160620 11:34:56
2016-06-20T11:35:15.000Z,41.79542,-87.63117,red,824,1,Howard,358,20160620 11:36:58,20160620 11:34:58
2016-06-20T11:35:15.000Z,41.89166,-87.62802,red,901,1,Howard,358,20160620 11:36:13,20160620 11:34:13
2016-06-20T11:35:15.000Z,41.83514,-87.63075,red,902,1,Howard,358,20160620 11:36:55,20160620 11:34:55
2016-06-20T11:35:15.000Z,41.89417,-87.62809,red,906,5,95th/Dan Ryan,178,20160620 11:35:22,20160620 11:34:22
2016-06-20T11:35:15.000Z,42.0127,-87.66617,red,911,1,Howard,335,20160620 11:30:05,20160620 11:29:05
2016-06-20T11:35:15.000Z,41.78054,-87.631,red,912,5,95th/Dan Ryan,178,20160620 11:36:58,20160620 11:34:58
2016-06-20T11:35:15.000Z,42.00836,-87.66591,red,914,5,95th/Dan Ryan,178,20160620 11:36:01,20160620 11:34:01
2016-06-20T11:36:15.000Z,41.94743,-87.65363,red,801,5,95th/Dan Ryan,179,20160620 11:37:44,20160620 11:35:44
2016-06-20T11:36:15.000Z,41.95377,-87.65519,red,802,5,95th/Dan Ryan,89,20160620 11:37:06,20160620 11:35:06
2016-06-20T11:36:15.000Z,41.97345,-87.65853,red,805,1,Howard,358,20160620 11:36:55,20160620 11:35:55
2016-06-20T11:36:15.000Z,41.87404,-87.62748,red,806,1,Howard,0,20160620 11:36:38,20160620 11:35:38
2016-06-20T11:36:15.000Z,41.92946,-87.65299,red,807,1,Howard,357,20160620 11:37:52,20160620 11:35:52
2016-06-20T11:36:15.000Z,41.73737,-87.6248,red,810,1,Howard,359,20160620 11:36:44,20160620 11:35:44
2016-06-20T11:36:15.000Z,41.75245,-87.62524,red,812,5,95th/Dan Ryan,176,20160620 11:36:58,20160620 11:35:58
2016-06-20T11:36:15.000Z,41.85532,-87.63133,red,814,5,95th/Dan Ryan,176,20160620 11:36:59,20160620 11:35:59
2016-06-20T11:36:15.000Z,41.91151,-87.65037,red,815,5,95th/Dan Ryan,125,20160620 11:36:49,20160620 11:35:49
2016-06-20T11:36:15.000Z,41.97345,-87.65853,red,816,5,95th/Dan Ryan,178,20160620 11:37:46,20160620 11:35:46
2016-06-20T11:36:15.000Z,41.98074,-87.65876,red,820,1,Howard,358,20160620 11:36:45,20160620 11:35:45
2016-06-20T11:36:15.000Z,41.95494,-87.65677,red,821,1,Howard,358,20160620 11:36:56,20160620 11:34:56
2016-06-20T11:36:15.000Z,41.79942,-87.63129,red,824,1,Howard,358,20160620 11:36:54,20160620 11:35:54
2016-06-20T11:36:15.000Z,41.89667,-87.62818,red,901,1,Howard,357,20160620 11:37:26,20160620 11:35:26
2016-06-20T11:36:15.000Z,41.83895,-87.63085,red,902,1,Howard,358,20160620 11:37:55,20160620 11:35:55
2016-06-20T11:36:15.000Z,41.89166,-87.62802,red,906,5,95th/Dan Ryan,178,20160620 11:36:24,20160620 11:35:24
2016-06-20T11:36:15.000Z,41.77898,-87.63083,red,912,5,95th/Dan Ryan,167,20160620 11:36:54,20160620 11:35:54
2016-06-20T11:36:15.000Z,42.00107,-87.66106,red,914,5,95th/Dan Ryan,129,20160620 11:37:58,20160620 11:35:58
2016-06-20T11:37:15.000Z,41.9452,-87.65353,red,801,5,95th/Dan Ryan,178,20160620 11:37:46,20160620 11:36:46
2016-06-20T11:37:15.000Z,41.96352,-87.65745,red,802,5,95th/Dan Ryan,165,20160620 11:38:17,20160620 11:36:17
2016-06-20T11:37:15.000Z,41.97572,-87.6586,red,805,1,Howard,358,20160620 11:37:51,20160620 11:36:51
2016-06-20T11:37:15.000Z,41.87815,-87.6276,red,806,1,Howard,357,20160620 11:37:55,20160620 11:36:55
2016-06-20T11:37:15.000Z,41.93383,-87.65317,red,807,1,Howard,357,20160620 11:37:41,20160620 11:36:41
2016-06-20T11:37:15.000Z,41.75042,-87.62518,red,810,1,Howard,359,20160620 11:38:54,20160620 11:36:54
2016-06-20T11:37:15.000Z,41.75042,-87.62518,red,812,5,95th/Dan Ryan,179,20160620 11:38:05,20160620 11:36:05
2016-06-20T11:37:15.000Z,41.85321,-87.63097,red,814,5,95th/Dan Ryan,163,20160620 11:38:59,20160620 11:36:59
2016-06-20T11:37:15.000Z,41.9096,-87.6477,red,815,5,95th/Dan Ryan,125,20160620 11:38:55,20160620 11:36:55
2016-06-20T11:37:15.000Z,41.96914,-87.65849,red,816,5,95th/Dan Ryan,180,20160620 11:37:13,20160620 11:36:13
2016-06-20T11:37:15.000Z,41.99026,-87.65908,red,820,1,Howard,357,20160620 11:37:52,20160620 11:36:52
2016-06-20T11:37:15.000Z,41.96427,-87.65759,red,821,1,Howard,344,20160620 11:38:58,20160620 11:36:58
2016-06-20T11:37:15.000Z,41.81036,-87.63101,red,824,1,Howard,32,20160620 11:38:55,20160620 11:36:55
2016-06-20T11:37:15.000Z,41.90394,-87.62893,red,901,1,Howard,273,20160620 11:37:59,20160620 11:36:59
2016-06-20T11:37:15.000Z,41.8479,-87.63094,red,902,1,Howard,10,20160620 11:37:52,20160620 11:36:52
2016-06-20T11:37:15.000Z,41.88481,-87.62781,red,906,5,95th/Dan Ryan,178,20160620 11:37:55,20160620 11:36:55
2016-06-20T11:37:15.000Z,41.76887,-87.62582,red,912,5,95th/Dan Ryan,178,20160620 11:37:53,20160620 11:36:53
2016-06-20T11:37:15.000Z,41.99767,-87.65927,red,914,5,95th/Dan Ryan,179,20160620 11:37:53,20160620 11:36:53
2016-06-20T11:38:15.000Z,41.93739,-87.65332,red,801,5,95th/Dan Ryan,177,20160620 11:40:41,20160620 11:37:41
2016-06-20T11:38:15.000Z,41.95496,-87.65677,red,802,5,95th/Dan Ryan,178,20160620 11:38:50,20160620 11:37:50
2016-06-20T11:38:15.000Z,41.97798,-87.65867,red,805,1,Howard,358,20160620 11:39:14,20160620 11:37:14
2016-06-20T11:38:15.000Z,41.87945,-87.62765,red,806,1,Howard,357,20160620 11:38:49,20160620 11:37:49
2016-06-20T11:38:15.000Z,41.9403,-87.65339,red,807,1,Howard,359,20160620 11:39:57,20160620 11:37:57
2016-06-20T11:38:15.000Z,41.75042,-87.62518,red,810,1,Howard,359,20160620 11:38:54,20160620 11:36:54
2016-06-20T11:38:15.000Z,41.74128,-87.6249,red,812,5,95th/Dan Ryan,177,20160620 11:38:55,20160620 11:37:55
2016-06-20T11:38:15.000Z,41.84297,-87.63114,red,814,5,95th/Dan Ryan,176,20160620 11:38:52,20160620 11:37:52
2016-06-20T11:38:15.000Z,41.9038,-87.63866,red,815,5,95th/Dan Ryan,89,20160620 11:38:57,20160620 11:37:57
2016-06-20T11:38:15.000Z,41.96914,-87.65849,red,816,5,95th/Dan Ryan,180,20160620 11:37:13,20160620 11:36:13
2016-06-20T11:38:15.000Z,42.00107,-87.66106,red,820,1,Howard,309,20160620 11:38:44,20160620 11:37:44
2016-06-20T11:38:15.000Z,41.96427,-87.65759,red,821,1,Howard,344,20160620 11:38:58,20160620 11:36:58
2016-06-20T11:38:15.000Z,41.81264,-87.63019,red,824,1,Howard,1,20160620 11:39:52,20160620 11:37:52
2016-06-20T11:38:15.000Z,41.90392,-87.63141,red,901,1,Howard,269,20160620 11:39:56,20160620 11:37:56
2016-06-20T11:38:15.000Z,41.85321,-87.63097,red,902,1,Howard,343,20160620 11:40:31,20160620 11:37:31
2016-06-20T11:38:15.000Z,41.88321,-87.62775,red,906,5,95th/Dan Ryan,177,20160620 11:38:57,20160620 11:37:57
2016-06-20T11:38:15.000Z,41.76663,-87.62574,red,912,5,95th/Dan Ryan,177,20160620 11:38:52,20160620 11:37:52
2016-06-20T11:38:15.000Z,41.99196,-87.65912,red,914,5,95th/Dan Ryan,178,20160620 11:38:55,20160620 11:37:55
2016-06-20T11:39:16.000Z,41.93739,-87.65332,red,801,5,95th/Dan Ryan,177,20160620 11:40:41,20160620 11:37:41
2016-06-20T11:39:16.000Z,41.95377,-87.65493,red,802,5,95th/Dan Ryan,91,20160620 11:40:28,20160620 11:38:28
2016-06-20T11:39:16.000Z,41.9835,-87.65884,red,805,1,Howard,358,20160620 11:39:37,20160620 11:38:37
2016-06-20T11:39:16.000Z,41.88198,-87.62772,red,806,1,Howard,358,20160620 11:39:55,20160620 11:38:55
2016-06-20T11:39:16.000Z,41.94282,-87.65338,red,807,1,Howard,5,20160620 11:39:53,20160620 11:38:53
2016-06-20T11:39:16.000Z,41.75979,-87.62561,red,810,1,Howard,358,20160620 11:39:52,20160620 11:38:52
2016-06-20T11:39:16.000Z,41.73537,-87.62475,red,812,5,95th/Dan Ryan,177,20160620 11:40:23,20160620 11:38:23
2016-06-20T11:39:16.000Z,41.83119,-87.63064,red,814,5,95th/Dan Ryan,178,20160620 11:40:42,20160620 11:38:42
2016-06-20T11:39:16.000Z,41.90386,-87.63504,red,815,5,95th/Dan Ryan,89,20160620 11:39:55,20160620 11:38:55
2016-06-20T11:39:16.000Z,41.96436,-87.65761,red,816,5,95th/Dan Ryan,164,20160620 11:40:52,20160620 11:38:52
2016-06-20T11:39:16.000Z,42.00107,-87.66106,red,820,1,Howard,309,20160620 11:40:41,20160620 11:38:41
2016-06-20T11:39:16.000Z,41.96665,-87.65835,red,821,1,Howard,348,20160620 11:39:23,20160620 11:38:23
2016-06-20T11:39:16.000Z,41.82412,-87.63047,red,824,1,Howard,358,20160620 11:39:56,20160620 11:38:56
2016-06-20T11:39:16.000Z,41.90392,-87.63141,red,901,1,Howard,269,20160620 11:39:56,20160620 11:37:56
2016-06-20T11:39:16.000Z,41.85589,-87.63137,red,902,1,Howard,358,20160620 11:40:49,20160620 11:38:49
2016-06-20T11:39:16.000Z,41.88074,-87.6277,red,906,5,95th/Dan Ryan,178,20160620 11:39:18,20160620 11:38:18
2016-06-20T11:39:16.000Z,41.75401,-87.62539,red,912,5,95th/Dan Ryan,174,20160620 11:39:59,20160620 11:38:59
2016-06-20T11:39:16.000Z,41.99026,-87.65908,red,914,5,95th/Dan Ryan,177,20160620 11:39:42,20160620 11:38:42
2016-06-20T11:40:16.000Z,41.93328,-87.65314,red,801,5,95th/Dan Ryan,177,20160620 11:41:52,20160620 11:39:52
2016-06-20T11:40:16.000Z,41.94743,-87.65363,red,802,5,95th/Dan Ryan,179,20160620 11:40:55,20160620 11:39:55
2016-06-20T11:40:16.000Z,41.99026,-87.65908,red,805,1,Howard,357,20160620 11:40:56,20160620 11:39:56
2016-06-20T11:40:16.000Z,41.88481,-87.62781,red,806,1,Howard,358,20160620 11:41:19,20160620 11:39:19
2016-06-20T11:40:16.000Z,41.94525,-87.65353,red,807,1,Howard,358,20160620 11:40:22,20160620 11:39:22
2016-06-20T11:40:16.000Z,41.76836,-87.62581,red,810,1,Howard,357,20160620 11:41:31,20160620 11:39:31
